Fluid,Property,Dataset,#T (K),P(Mpa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,T (  C),T (   R)
H2,TC,Carey1974,295.15,0.146,,,,,0.179,,,,
H2,TC,Carey1974,295.29,0.400,,,,,0.180,,,,
H2,TC,Carey1974,295.26,0.563,,,,,0.179,,,,
H2,TC,Carey1974,295.25,0.670,,,,,0.180,,,,
H2,TC,Carey1974,297.16,0.924,,,,,0.180,,,,
H2,TC,Carey1974,291.08,1.586,,,,,0.179,,,,
H2,TC,Carey1974,291.79,2.261,,,,,0.180,,,,
H2,TC,Carey1974,296.73,2.499,,,,,0.180,,,,
H2,TC,Carey1974,297.78,3.367,,,,,0.182,,,,
H2,TC,Carey1974,297.57,4.033,,,,,0.182,,,,
H2,TC,Carey1974,297.47,4.273,,,,,0.182,,,,
H2,TC,Carey1974,295.26,4.894,,,,,0.182,,,,
H2,TC,Carey1974,297.56,5.765,,,,,0.183,,,,
H2,TC,Carey1974,269.31,5.857,,,,,0.183,,,,
H2,TC,Carey1974,296.53,6.414,,,,,0.184,,,,
H2,TC,Carey1974,294.60,6.991,,,,,0.184,,,,
H2,TC,Carey1974,299.19,8.998,,,,,0.188,,,,
H2,TC,Carey1974,299.15,11.024,,,,,0.189,,,,
H2,TC,Hamrin1966,274.75,0.141855,,,,,0.161084,,,,
H2,TC,Hamrin1966,274.75,0.7396725,,,,,0.1765648,,,,
H2,TC,Hamrin1966,274.75,1.9555725,,,,,0.173636,,,,
H2,TC,Hamrin1966,274.75,3.830085,,,,,0.1732176,,,,
H2,TC,Hamrin1966,274.75,6.9610275,,,,,0.1782384,,,,
H2,TC,Hamrin1966,274.75,8.6835525,,,,,0.182004,,,,
H2,TC,Hamrin1966,274.75,10.6289925,,,,,0.18828,,,,
H2,TC,Hamrin1966,274.75,14.4996075,,,,,0.1937192,,,,
H2,TC,Hamrin1966,274.75,17.6406825,,,,,0.1953928,,,,
H2,TC,Hamrin1966,274.75,20.3967225,,,,,0.1953928,,,,
H2,TC,Hamrin1966,274.75,24.662505,,,,,0.1999952,,,,
H2,TC,Hamrin1966,274.75,25.7264175,,,,,0.200832,,,,
H2,TC,Hamrin1966,274.75,28.2392775,,,,,0.2079448,,,,
H2,TC,Hamrin1966,274.75,30.5900175,,,,,0.2025056,,,,
H2,TC,Hamrin1966,274.75,31.0155825,,,,,0.2058528,,,,
H2,TC,Hamrin1966,274.75,31.552605,,,,,0.2054344,,,,
H2,TC,Hamrin1966,274.75,31.9680375,,,,,0.2004136,,,,
H2,TC,Hamrin1966,274.75,37.9867425,,,,,0.2058528,,,,
H2,TC,Hamrin1966,274.75,47.156655,,,,,0.2121288,,,,
H2,TC,Hamrin1966,274.75,53.114565,,,,,0.2225888,,,,
H2,TC,Hamrin1966,274.75,56.4278925,,,,,0.2225888,,,,
H2,TC,Hamrin1966,274.75,56.9750475,,,,,0.223844,,,,
H2,TC,Hamrin1966,274.75,58.3935975,,,,,0.2230072,,,,
H2,TC,Hamrin1966,298.15,3.586905,,,,,0.1899536,,,,
H2,TC,Hamrin1966,298.15,7.842555,,,,,0.1953928,,,,
H2,TC,Hamrin1966,298.15,14.5908,,,,,0.1983216,,,,
H2,TC,Hamrin1966,298.15,17.812935,,,,,0.202924,,,,
H2,TC,Hamrin1966,298.15,28.3608675,,,,,0.2087816,,,,
H2,TC,Hamrin1966,298.15,30.3265725,,,,,0.211292,,,,
H2,TC,Hamrin1966,298.15,31.795785,,,,,0.2108736,,,,
H2,TC,Hamrin1966,298.15,35.2914975,,,,,0.2150576,,,,
H2,TC,Hamrin1966,298.15,39.0607875,,,,,0.2158944,,,,
H2,TC,Hamrin1966,298.15,41.968815,,,,,0.217568,,,,
H2,TC,Hamrin1966,298.15,45.3429375,,,,,0.221752,,,,
H2,TC,Hamrin1966,298.15,49.3959375,,,,,0.2255176,,,,
H2,TC,Hamrin1966,298.15,52.1519775,,,,,0.2276096,,,,
H2,TC,Hamrin1966,298.15,59.21433,,,,,0.2351408,,,,
H2,TC,Hamrin1966,298.15,66.4590675,,,,,0.2418352,,,,
H2,TC,Hamrin1966,323.35,7.3663275,,,,,0.2016688,,,,
H2,TC,Hamrin1966,323.35,10.9734975,,,,,0.2066896,,,,
H2,TC,Hamrin1966,323.35,14.1956325,,,,,0.2104552,,,,
H2,TC,Hamrin1966,323.35,17.691345,,,,,0.2121288,,,,
H2,TC,Hamrin1966,323.35,26.6586075,,,,,0.2150576,,,,
H2,TC,Hamrin1966,323.35,35.22057,,,,,0.2188232,,,,
H2,TC,Hamrin1966,323.35,55.424775,,,,,0.2297016,,,,
H2,TC,Hamrin1966,323.35,62.4263325,,,,,0.2338856,,,,
H2,TC,Hamrin1966,323.35,66.935295,,,,,0.2430904,,,,
H2,TC,Roder1984,297.768,67.316,,,,,0.24302,,,,
H2,TC,Roder1984,298.415,67.317,,,,,0.24253,,,,
H2,TC,Roder1984,299.194,67.317,,,,,0.24341,,,,
H2,TC,Roder1984,300.09,67.318,,,,,0.24437,,,,
H2,TC,Roder1984,300.631,67.318,,,,,0.2444,,,,
H2,TC,Roder1984,297.711,64.867,,,,,0.24053,,,,
H2,TC,Roder1984,298.214,64.867,,,,,0.23852,,,,
H2,TC,Roder1984,298.99,64.868,,,,,0.24043,,,,
H2,TC,Roder1984,299.845,64.871,,,,,0.24125,,,,
H2,TC,Roder1984,297.491,61.368,,,,,0.23614,,,,
H2,TC,Roder1984,298.203,61.368,,,,,0.2366,,,,
H2,TC,Roder1984,299.058,61.368,,,,,0.23706,,,,
H2,TC,Roder1984,300.016,61.368,,,,,0.23751,,,,
H2,TC,Roder1984,297.556,57.884,,,,,0.23312,,,,
H2,TC,Roder1984,298.134,57.886,,,,,0.23381,,,,
H2,TC,Roder1984,299.143,57.886,,,,,0.23381,,,,
H2,TC,Roder1984,300.119,57.886,,,,,0.23409,,,,
H2,TC,Roder1984,297.614,54.612,,,,,0.23012,,,,
H2,TC,Roder1984,298.347,54.612,,,,,0.2309,,,,
H2,TC,Roder1984,299.21,54.613,,,,,0.23117,,,,
H2,TC,Roder1984,300.201,54.613,,,,,0.23185,,,,
H2,TC,Roder1984,297.577,50.862,,,,,0.22693,,,,
H2,TC,Roder1984,298.253,50.862,,,,,0.22803,,,,
