ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,Pressure,VapourPressure2,Type,Temperature,Reference
1,CO2,water,0.000985,0.0000197,1.01325,0,VLE,283.15,Houghton1957
2,CO2,water,0.001946,0.000023892,2.0265,0,VLE,283.15,Houghton1957
3,CO2,water,0.0038,0.000076,4.053,0,VLE,283.15,Houghton1957
4,CO2,water,0.00556,0.0001112,6.0795,0,VLE,283.15,Houghton1957
5,CO2,water,0.00723,0.0001446,8.106,0,VLE,283.15,Houghton1957
6,CO2,water,0.00881,0.000206,10.1325,0,VLE,283.15,Houghton1957
7,CO2,water,0.0103,0.000234,12.159,0,VLE,283.15,Houghton1957
8,CO2,water,0.0117,0.0002604,14.1855,0,VLE,283.15,Houghton1957
9,CO2,water,0.01424,0.0002848,18.2385,0,VLE,283.15,Houghton1957
10,CO2,water,0.01538,0.0003076,20.265,0,VLE,283.15,Houghton1957
11,CO2,water,0.01644,0.0003288,22.2915,0,VLE,283.15,Houghton1957
12,CO2,water,0.00688364,0.000137673,10.12,0,VLE,293.15,Addicks2001
13,CO2,water,0.00944248,0.00018885,15.07,0,VLE,293.15,Addicks2001
14,CO2,water,0.01236172,0.000247234,20.2,0,VLE,293.15,Addicks2001
15,CO2,water,0.0149025,0.00029805,25.33,0,VLE,293.15,Addicks2001
16,CO2,water,0.001445,0.0000289,1.01325,0,VLE,273.15,Houghton1957
17,CO2,water,0.00289,0.0000578,2.02065,0,VLE,273.15,Houghton1957
18,CO2,water,0.0056,0.000112,4.053,0,VLE,273.15,Houghton1957
19,CO2,water,0.00814,0.0001628,6.0795,0,VLE,273.15,Houghton1957
20,CO2,water,0.01271,0.0002542,10.1325,0,VLE,273.15,Houghton1957
21,CO2,water,0.01474,0.0002948,12.159,0,VLE,273.15,Houghton1957
22,CO2,water,0.0166,0.000332,14.1855,0,VLE,273.15,Houghton1957
23,CO2,water,0.01831,0.0003662,18.23,0,VLE,273.15,Houghton1957
24,CO2,water,0.02123,0.0004246,20.265,0,VLE,273.15,Houghton1957
25,CO2,water,0.000802,0.00001604,1.01325,0,VLE,288.15,Houghton1957
26,CO2,water,0.001587,0.00003174,2.02,0,VLE,288.15,Houghton1957
27,CO2,water,0.00311,0.0000622,4.053,0,VLE,288.15,Houghton1957
28,CO2,water,0.00458,0.0000916,6.0795,0,VLE,288.15,Houghton1957
29,CO2,water,0.00598,0.0001196,8.106,0,VLE,288.15,Houghton1957
30,CO2,water,0.00732,0.0001464,10.1325,0,VLE,288.15,Houghton1957
31,CO2,water,0.0086,0.000172,12.159,0,VLE,288.15,Houghton1957
32,CO2,water,0.00982,0.0001964,14.1855,0,VLE,288.15,Houghton1957
33,CO2,water,0.01099,0.0002198,16.212,0,VLE,288.15,Houghton1957
34,CO2,water,0.01209,0.0002418,18.2385,0,VLE,288.15,Houghton1957
35,CO2,water,0.01313,0.0002626,20.265,0,VLE,288.15,Houghton1957
36,CO2,water,0.000692,0.00001384,1.01325,0,VLE,293.15,Houghton1957
37,CO2,water,0.001374,0.00002748,2.02,0,VLE,293.15,Houghton1957
38,CO2,water,0.0027,0.000054,4.053,0,VLE,293.15,Houghton1957
39,CO2,water,0.00399,0.0000798,6.0795,0,VLE,293.15,Houghton1957
40,CO2,water,0.00524,0.0001048,8.106,0,VLE,293.15,Houghton1957
41,CO2,water,0.00644,0.0001288,10.1325,0,VLE,293.15,Houghton1957
42,CO2,water,0.0076,0.000152,12.159,0,VLE,293.15,Houghton1957
43,CO2,water,0.00872,0.0001744,14.1855,0,VLE,293.15,Houghton1957
44,CO2,water,0.00981,0.0001962,16.212,0,VLE,293.15,Houghton1957
45,CO2,water,0.01084,0.0002168,18.2385,0,VLE,293.15,Houghton1957
46,CO2,water,0.01184,0.0002368,20.265,0,VLE,293.15,Houghton1957
47,CO2,water,0.000608,0.00001216,1.01325,0,VLE,298.15,Houghton1957
48,CO2,water,0.001207,0.00002414,2.02,0,VLE,298.15,Houghton1957
49,CO2,water,0.00239,0.0000478,4.053,0,VLE,298.15,Houghton1957
50,CO2,water,0.00353,0.0000706,6.0795,0,VLE,298.15,Houghton1957
51,CO2,water,0.00465,0.000093,8.106,0,VLE,298.15,Houghton1957
52,CO2,water,0.00574,0.0001148,10.1325,0,VLE,298.15,Houghton1957
53,CO2,water,0.0068,0.000136,12.159,0,VLE,298.15,Houghton1957
54,CO2,water,0.00783,0.0001566,14.1855,0,VLE,298.15,Houghton1957
55,CO2,water,0.00883,0.0001766,16.212,0,VLE,298.15,Houghton1957
56,CO2,water,0.0098,0.000196,18.2385,0,VLE,298.15,Houghton1957
57,CO2,water,0.000473,0.00000946,1.01325,0,VLE,308.15,Houghton1957
