"ID","point","pressure","temperature","comp1","comp2","comp3","comp4","x1-molfrac","x2-kg","x3-molal","x4-molal","reference","comment"
1,1.000000000,0.981500000,313.380000000,"CO2","water","Na+","Cl-",0.000330000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
2,2.000000000,3.850000000,313.380000000,"CO2","water","Na+","Cl-",0.001360000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
3,3.000000000,5.094300000,313.380000000,"CO2","water","Na+","Cl-",0.001800000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
4,4.000000000,8.866200000,313.380000000,"CO2","water","Na+","Cl-",0.003150000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
5,5.000000000,19.982000000,313.380000000,"CO2","water","Na+","Cl-",0.006750000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
6,6.000000000,31.504000000,313.380000000,"CO2","water","Na+","Cl-",0.010320000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
7,7.000000000,36.818000000,313.380000000,"CO2","water","Na+","Cl-",0.011820000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
8,8.000000000,46.213000000,313.380000000,"CO2","water","Na+","Cl-",0.014270000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
9,9.000000000,56.247000000,313.380000000,"CO2","water","Na+","Cl-",0.016590000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
10,10.000000000,67.763000000,313.380000000,"CO2","water","Na+","Cl-",0.018830000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
11,11.000000000,84.343000000,313.380000000,"CO2","water","Na+","Cl-",0.021120000,1.000000000,0.520000000,0.520000000,"Kiepe2002","x1-nosalt"
12,12.000000000,2.081500000,313.310000000,"CO2","water","Na+","Cl-",0.000510000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
13,13.000000000,5.012500000,313.310000000,"CO2","water","Na+","Cl-",0.001240000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
14,14.000000000,8.182300000,313.310000000,"CO2","water","Na+","Cl-",0.002010000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
15,15.000000000,12.440000000,313.310000000,"CO2","water","Na+","Cl-",0.003040000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
