ID,StandardDeviation,Temperature,ComponentName,Density,Pressure,PhaseType,Reference,,,,
30,11,298.15,TEG,1119.9,1.01325,liquid,Begum,,,,
31,11,303.15,TEG,1115.8,1.01325,liquid,Begum,,,,
32,11,308.15,TEG,1111.9,1.01325,liquid,Begum,,,,
33,11,313.15,TEG,1108.4,1.01325,liquid,Begum,,,,
34,11,318.15,TEG,1104,1.01325,liquid,Begum,,,,
35,11,323.15,TEG,1100,1.01325,liquid,Begum,,,,
36,11,328.14,TEG,1096.45,1.01325,liquid,Begum,,,,
37,11,338.15,TEG,1088.58,1.01325,liquid,Begum,,,,
38,11,348.14,TEG,1080.66,1.01325,liquid,Begum,,,,
39,11,358.15,TEG,1072.69,1.01325,liquid,Begum,,,,
