,ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,Pressure,VapourPressure2,Type,Temperature,Reference,x_CPA,dev
0,1,CO2,water,0.000985,1.97e-05,1.01325,0,VLE,283.15,Houghton1957,0.0007254305926719006,-26.35222409422329
1,2,CO2,water,0.001946,2.3892e-05,2.0265,0,VLE,283.15,Houghton1957,0.0014563546107735621,-25.1616335676484
2,3,CO2,water,0.0038,7.6e-05,4.053,0,VLE,283.15,Houghton1957,0.002907037588433693,-23.499010830692285
3,4,CO2,water,0.00556,0.0001112,6.0795,0,VLE,283.15,Houghton1957,0.004342137286916086,-21.90400563100565
4,5,CO2,water,0.00723,0.0001446,8.106,0,VLE,283.15,Houghton1957,0.005760778886041531,-20.321177233173845
5,6,CO2,water,0.00881,0.000206,10.1325,0,VLE,283.15,Houghton1957,0.007162041061244761,-18.705549815609977
6,7,CO2,water,0.0103,0.000234,12.159,0,VLE,283.15,Houghton1957,0.008544953602745823,-17.03928541023473
7,8,CO2,water,0.0117,0.0002604,14.1855,0,VLE,283.15,Houghton1957,0.009908494752336327,-15.312010663792078
8,9,CO2,water,0.01424,0.0002848,18.2385,0,VLE,283.15,Houghton1957,0.012573099464009984,-11.705762190941119
9,10,CO2,water,0.01538,0.0003076,20.265,0,VLE,283.15,Houghton1957,0.01387183199807394,-9.806033822666183
10,11,CO2,water,0.01644,0.0003288,22.2915,0,VLE,283.15,Houghton1957,0.015146521992353121,-7.86787109274257
11,12,CO2,water,0.00688364,0.000137673,10.12,0,VLE,293.15,Addicks2001,0.005497268568334651,-20.14009203946385
12,13,CO2,water,0.00944248,0.00018885,15.07,0,VLE,293.15,Addicks2001,0.008067145953368394,-14.565390094886146
13,14,CO2,water,0.01236172,0.000247234,20.2,0,VLE,293.15,Addicks2001,0.010631075732591408,-14.000028049564234
14,15,CO2,water,0.0149025,0.00029805,25.33,0,VLE,293.15,Addicks2001,0.013083288995282561,-12.207421605216839
15,16,CO2,water,0.001445,2.89e-05,1.01325,0,VLE,273.15,Houghton1957,0.000978897567724146,-32.25622368691032
16,17,CO2,water,0.00289,5.78e-05,2.02065,0,VLE,273.15,Houghton1957,0.0019540507426265685,-32.38578745236788
17,18,CO2,water,0.0056,0.000112,4.053,0,VLE,273.15,Houghton1957,0.003908042576985057,-30.213525410981116
18,19,CO2,water,0.00814,0.0001628,6.0795,0,VLE,273.15,Houghton1957,0.0058376489675679485,-28.284410717838465
19,20,CO2,water,0.01271,0.0002542,10.1325,0,VLE,273.15,Houghton1957,0.009635100757361955,-24.192755646247406
20,21,CO2,water,0.01474,0.0002948,12.159,0,VLE,273.15,Houghton1957,0.011499852599835502,-21.982004071672304
21,22,CO2,water,0.0166,0.000332,14.1855,0,VLE,273.15,Houghton1957,0.013339661947938236,-19.64059067507087
22,23,CO2,water,0.01831,0.0003662,18.23,0,VLE,273.15,Houghton1957,0.01692922159331132,-7.541116366404579
23,24,CO2,water,0.02123,0.0004246,20.265,0,VLE,273.15,Houghton1957,0.018689463536141006,-11.966728515586398
24,25,CO2,water,0.000802,1.604e-05,1.01325,0,VLE,288.15,Houghton1957,0.000631226274407542,-21.29348199407207
25,26,CO2,water,0.001587,3.174e-05,2.02,0,VLE,288.15,Houghton1957,0.001266071013873813,-20.222368375941212
26,27,CO2,water,0.00311,6.22e-05,4.053,0,VLE,288.15,Houghton1957,0.0025379012743780784,-18.39545741549587
27,28,CO2,water,0.00458,9.16e-05,6.0795,0,VLE,288.15,Houghton1957,0.003791592917824668,-17.2141284317758
28,29,CO2,water,0.00598,0.0001196,8.106,0,VLE,288.15,Houghton1957,0.005030547288836799,-15.877135638180622
29,30,CO2,water,0.00732,0.0001464,10.1325,0,VLE,288.15,Houghton1957,0.006254048869535522,-14.562173913449158
30,31,CO2,water,0.0086,0.000172,12.159,0,VLE,288.15,Houghton1957,0.007461352310824246,-13.240089409020397
31,32,CO2,water,0.00982,0.0001964,14.1855,0,VLE,288.15,Houghton1957,0.008651681152317802,-11.897340607761695
32,33,CO2,water,0.01099,0.0002198,16.212,0,VLE,288.15,Houghton1957,0.009824226362314128,-10.607585420253605
33,34,CO2,water,0.01209,0.0002418,18.2385,0,VLE,288.15,Houghton1957,0.01097814464383517,-9.196487644043263
34,35,CO2,water,0.01313,0.0002626,20.265,0,VLE,288.15,Houghton1957,0.012112556431283138,-7.74899900012842
35,36,CO2,water,0.000692,1.384e-05,1.01325,0,VLE,293.15,Houghton1957,0.0005526145923848046,-20.142399944392402
36,37,CO2,water,0.001374,2.748e-05,2.02,0,VLE,293.15,Houghton1957,0.00111186979096871,-19.07789003138938
37,38,CO2,water,0.0027,5.4e-05,4.053,0,VLE,293.15,Houghton1957,0.002232043787315667,-17.331711580901224
38,39,CO2,water,0.00399,7.98e-05,6.0795,0,VLE,293.15,Houghton1957,0.0033359952919881004,-16.39109543889472
39,40,CO2,water,0.00524,0.0001048,8.106,0,VLE,293.15,Houghton1957,0.0044267885666619865,-15.519302162939185
40,41,CO2,water,0.00644,0.0001288,10.1325,0,VLE,293.15,Houghton1957,0.005503869104225425,-14.5361940337667
41,42,CO2,water,0.0076,0.000152,12.159,0,VLE,293.15,Houghton1957,0.006566664270173137,-13.596522760879774
42,43,CO2,water,0.00872,0.0001744,14.1855,0,VLE,293.15,Houghton1957,0.007614582724118707,-12.676803622491898
43,44,CO2,water,0.00981,0.0001962,16.212,0,VLE,293.15,Houghton1957,0.008647013751637301,-11.855109565368991
44,45,CO2,water,0.01084,0.0002168,18.2385,0,VLE,293.15,Houghton1957,0.00966332647861385,-10.85492178400508
45,46,CO2,water,0.01184,0.0002368,20.265,0,VLE,293.15,Houghton1957,0.010662868931385157,-9.94198537681455
46,47,CO2,water,0.000608,1.216e-05,1.01325,0,VLE,298.15,Houghton1957,0.0004863341110308966,-20.010837001497272
47,48,CO2,water,0.001207,2.414e-05,2.02,0,VLE,298.15,Houghton1957,0.0009826152208837519,-18.590288244925276
48,49,CO2,water,0.00239,4.78e-05,4.053,0,VLE,298.15,Houghton1957,0.0019765329495687557,-17.299876587081357
49,50,CO2,water,0.00353,7.06e-05,6.0795,0,VLE,298.15,Houghton1957,0.002955938669749087,-16.262360630337486
50,51,CO2,water,0.00465,9.3e-05,8.106,0,VLE,298.15,Houghton1957,0.003923608476453067,-15.621323087030802
51,52,CO2,water,0.00574,0.0001148,10.1325,0,VLE,298.15,Houghton1957,0.004879112256579644,-14.998044310459163
52,53,CO2,water,0.0068,0.000136,12.159,0,VLE,298.15,Houghton1957,0.005822009004033931,-14.382220528912779
53,54,CO2,water,0.00783,0.0001566,14.1855,0,VLE,298.15,Houghton1957,0.006751846593939698,-13.769519873056216
54,55,CO2,water,0.00883,0.0001766,16.212,0,VLE,298.15,Houghton1957,0.007668161512176016,-13.157853769241038
55,56,CO2,water,0.0098,0.000196,18.2385,0,VLE,298.15,Houghton1957,0.008570478525333327,-12.546137496598705
56,57,CO2,water,0.000473,9.46e-06,1.01325,0,VLE,308.15,Houghton1957,0.00038115914491048563,-19.41667126628211
57,58,CO2,water,0.000943,1.886e-05,2.0265,0,VLE,308.15,Houghton1957,0.0007825797714772019,-17.011689132852396
58,59,CO2,water,0.001868,3.736e-05,4.053,0,VLE,308.15,Houghton1957,0.0015787608059041806,-15.483896900204467
59,60,CO2,water,0.00278,5.56e-05,6.0795,0,VLE,308.15,Houghton1957,0.0023658496233115774,-14.897495564331745
60,61,CO2,water,0.00367,7.34e-05,8.106,0,VLE,308.15,Houghton1957,0.003143588689283299,-14.34363244459676
61,62,CO2,water,0.00454,9.08e-05,10.1325,0,VLE,308.15,Houghton1957,0.003911716821183995,-13.838836537797464
62,63,CO2,water,0.00539,0.0001078,12.159,0,VLE,308.15,Houghton1957,0.004669969223695112,-13.358641489886597
63,64,CO2,water,0.000342,6.84e-06,1.01325,0,VLE,323.15,Houghton1957,0.0002674676936230185,-21.79307204005307
64,65,CO2,water,0.000683,1.366e-05,2.02,0,VLE,323.15,Houghton1957,0.0005682899076443432,-16.795035483990752
65,66,CO2,water,0.001354,2.708e-05,4.053,0,VLE,323.15,Houghton1957,0.0011708664913644405,-13.525369913999963
66,67,CO2,water,0.00202,4.04e-05,6.0795,0,VLE,323.15,Houghton1957,0.0017648945610749902,-12.628982125000487
67,68,CO2,water,0.00266,5.32e-05,8.106,0,VLE,323.15,Houghton1957,0.002352183548160462,-11.572047061636761
68,69,CO2,water,0.0033,6.6e-05,10.1325,0,VLE,323.15,Houghton1957,0.002932605590350661,-11.133163928767843
69,70,CO2,water,0.00393,7.86e-05,12.159,0,VLE,323.15,Houghton1957,0.0035060326538597373,-10.787973184230612
70,71,CO2,water,0.00455,9.1e-05,14.1855,0,VLE,323.15,Houghton1957,0.004072336603656299,-10.498096622938494
71,72,CO2,water,0.00515,0.000103,16.212,0,VLE,323.15,Houghton1957,0.004631389273624616,-10.070111191755036
72,73,CO2,water,0.00575,0.000115,18.2385,0,VLE,323.15,Houghton1957,0.005183062535952493,-9.859781983434905
73,74,CO2,water,0.00634,0.0001268,20.265,0,VLE,323.15,Houghton1957,0.0057272283693921,-9.665167675203467
74,75,CO2,water,0.00691,0.0001382,22.2915,0,VLE,323.15,Houghton1957,0.006263758925843745,-9.352258670857532
75,76,CO2,water,0.000248,4.96e-06,1.01325,0,VLE,348.15,Houghton1957,0.00013130300680677716,-47.05523919081566
76,77,CO2,water,0.000495,9.9e-06,2.0265,0,VLE,348.15,Houghton1957,0.0003409940844219036,-31.11230617739321
77,78,CO2,water,0.000984,1.968e-05,4.053,0,VLE,348.15,Houghton1957,0.0007573455868373668,-23.03398507750338
78,79,CO2,water,0.001465,2.93e-05,6.0795,0,VLE,348.15,Houghton1957,0.0011696194577983218,-20.162494348237413
79,80,CO2,water,0.001941,3.882e-05,8.106,0,VLE,348.15,Houghton1957,0.001577772045117793,-18.713444352509377
80,81,CO2,water,0.00241,4.82e-05,10.1325,0,VLE,348.15,Houghton1957,0.001981760253374362,-17.769284092350127
81,82,CO2,water,0.00287,5.74e-05,12.159,0,VLE,348.15,Houghton1957,0.002381541577543052,-17.01945722846509
82,83,CO2,water,0.00333,6.66e-05,14.1855,0,VLE,348.15,Houghton1957,0.0027770741371652766,-16.60438026530701
83,84,CO2,water,0.00378,7.56e-05,16.212,0,VLE,348.15,Houghton1957,0.0031683167110215906,-16.182097592021414
84,85,CO2,water,0.000187,3.74e-06,1.01325,0,VLE,373.15,Houghton1957,,
85,86,CO2,water,0.000373,7.46e-06,2.02,0,VLE,373.15,Houghton1957,,
86,87,CO2,water,0.000743,1.486e-05,4.053,0,VLE,373.15,Houghton1957,0.0004832147686993504,-34.964364912604246
87,88,CO2,water,0.001111,2.222e-05,6.0795,0,VLE,373.15,Houghton1957,0.0008008215670340323,-27.91885085202229
88,89,CO2,water,0.001477,2.954e-05,8.106,0,VLE,373.15,Houghton1957,0.0011157191698678486,-24.460448891817972
89,90,CO2,water,0.001841,3.682e-05,10.1325,0,VLE,373.15,Houghton1957,0.0014278910505555866,-22.43937802522615
90,91,CO2,water,0.0022,4.4e-05,12.159,0,VLE,373.15,Houghton1957,0.0017373211140950294,-21.03085845022594
91,92,CO2,water,0.000500381,1.00076e-05,1.54,0,VLE,323.15,Zawisza1981,0.0004250620108242476,-15.052327961244016
